Date,MarketPrice,MinersRevenue,TradeVolume,TransctionFee,TransactionPerSec,Return
9/27/2019,8055.64,13731933.73,286339496,0.907828357,3.133333333,0.01716313
9/28/2019,8193.9,16399123.57,167290267.7,0.600878632,4.183333333,0.003795506
9/29/2019,8225,14292283.47,99366389.5,0.588071109,2.516666667,-0.020457143
9/30/2019,8056.74,13436667.52,92992826.7,1.06976202,3.4,0.03115404
10/1/2019,8307.74,15347785.33,173526590,1.195980474,3.616666667,0.001827212
10/2/2019,8322.92,15983802.95,170270297.4,0.943771276,2.05,0.007102075
10/3/2019,8382.03,15446657.01,91246610.94,0.953560206,5,-0.017401513
10/4/2019,8236.17,15198779.2,116784278.3,0.671349036,3,-0.009797029
10/5/2019,8155.48,16377861.17,92819801.41,0.472704649,1.95,-0.000955186
10/6/2019,8147.69,15379216.33,56545050.08,0.46826495,3.15,-0.034113964
10/7/2019,7869.74,15743886.01,100404346.4,0.604798172,2.316666667,0.043493178
10/8/2019,8212.02,17060959.45,144876046.2,0.674920399,3.916666667,-0.002681435
10/9/2019,8190,14626389.97,68942273.4,0.817047062,2.95,0.048586081
10/10/2019,8587.92,17831123.68,174962381.2,0.828309015,2.416666667,-0.000118771
10/11/2019,8586.9,17060812.1,113137559.6,0.670074389,4.85,-0.036936496
10/12/2019,8269.73,14021139.92,138474726.8,0.573480068,2.2,0.00462893
10/13/2019,8308.01,15185999.16,30579541.65,0.483873583,2.483333333,-0.00291887
10/14/2019,8283.76,14628224.19,65962338.32,0.647586229,3.166666667,0.008423711
10/15/2019,8353.54,16240085.96,61644447.22,0.626004661,2.783333333,-0.022910048
10/16/2019,8162.16,14633533.22,86738050,0.693174097,3.316666667,-0.019559773
10/17/2019,8002.51,15858419.08,117969721.4,0.604208557,3.516666667,0.009280838
10/18/2019,8076.78,16329289.22,79993882.94,0.584087305,3.95,-0.015183031
10/19/2019,7954.15,14484979.9,94710382.22,0.474426402,4.166666667,0.000740494
10/20/2019,7960.04,14984777.03,53229503.88,0.436576716,3.216666667,0.034047568
10/21/2019,8231.06,16722180.44,90340986.76,0.481533672,2.516666667,-0.001037533
10/22/2019,8222.52,17496598.35,78014940.86,0.53440364,3.633333333,-0.023807786
10/23/2019,8026.76,17079475.39,89353651.52,0.681601012,3.7,-0.069417797
10/24/2019,7469.56,12594197.43,221341213.8,0.709897658,4.166666667,-0.005044474
10/25/2019,7431.88,13909079.27,75975960.6,0.872678832,5.133333333,0.166163878
10/26/2019,8666.79,16769057.92,333681035.1,1.455858246,2.75,0.068423257
10/27/2019,9259.8,13879519.95,657396445.3,1.248921562,3.033333333,0.03150608
10/28/2019,9551.54,16254462.72,290708092.5,1.162526245,3.116666667,-0.034840455
10/29/2019,9218.76,15907595.39,233830897.4,1.079654667,4.266666667,0.023277534
10/30/2019,9433.35,15935289.73,169991136.7,0.98034236,3.783333333,-0.028487229
10/31/2019,9164.62,15460313.8,145730105.2,1.108512021,2.983333333,-0.001815678
11/1/2019,9147.98,15476389.78,160663136.9,1.160526275,3.166666667,0.011479037
11/2/2019,9252.99,16052149.36,107433320.9,0.903170131,3.8,0.005208046
11/3/2019,9301.18,16402669.81,53740264.79,0.817713946,2.316666667,-0.010215908
11/4/2019,9206.16,15941423.77,47020646.32,1.439304084,4.35,0.023016111
11/5/2019,9418.05,17451427.1,103857828.9,1.226752997,3.55,-0.011452477
11/6/2019,9310.19,15769410.01,97692940.89,1.147858466,2.866666667,0.003560615
11/7/2019,9343.34,15970955.44,78710164.83,1.131117499,3.683333333,-0.01488761
11/8/2019,9204.24,14762408.04,73169474.05,1.177154862,3.116666667,-0.047608493
11/9/2019,8766.04,16111246.62,159478900.2,0.847261478,2.533333333,0.004947502
11/10/2019,8809.41,18896479.03,40216982.81,0.707149286,3.95,0.025848496
11/11/2019,9037.12,16881322.71,58075876.85,0.795774847,2.166666667,-0.035333159
11/12/2019,8717.81,14989182.4,99417730.88,0.830034316,3.7,0.009602182
11/13/2019,8801.52,15067619.93,84092098.49,0.941506154,3.616666667,-0.004442414
11/14/2019,8762.42,18779474.74,53278229.95,0.726183609,3.55,-0.014847496
11/15/2019,8632.32,17351278.97,62094349.52,0.777237154,4.4,-0.020229788
11/16/2019,8457.69,15864379.2,102346506.7,0.685409655,3.35,0.002957072
11/17/2019,8482.7,16582477.3,27218439.49,0.679099554,2.133333333,0.002502741
11/18/2019,8503.93,14963381.52,42762607.28,0.765355149,3.116666667,-0.038563347
11/19/2019,8175.99,15599060.26,98039358.97,0.840978202,2.933333333,-0.006750253
11/20/2019,8120.8,14807093.07,80797818.39,0.691721069,3.85,-0.004801251
11/21/2019,8081.81,13715760.95,62317220.55,0.890509132,3.466666667,-0.057504445
11/22/2019,7617.07,12538677.98,152565570.4,0.930863024,2.483333333,-0.04341827
11/23/2019,7286.35,16178363.03,283120965.8,0.50582671,4.25,0.005171313
11/24/2019,7324.03,11832812.58,74562140.93,0.45448858,2.95,-0.056885349
11/25/2019,6907.4,11205569.82,88831996.03,0.806160207,3.683333333,0.032262501
11/26/2019,7130.25,11167150.57,250687896.4,0.885559121,4.05,0.004681463
11/27/2019,7163.63,12848987.49,108471398.9,0.774036144,2.983333333,0.050281771
11/28/2019,7523.83,15917751.91,220499983,0.633846913,3.066666667,-0.012338131
11/29/2019,7431,14142605.49,99775070.97,0.79601133,3.183333333,0.043933522
11/30/2019,7757.47,12281980.57,117995230.2,0.751507688,1.983333333,-0.025749374
12/1/2019,7557.72,12925726.37,78337203.77,0.586631657,3.35,-0.0205128
12/2/2019,7402.69,13446041.66,88571039.07,0.605671231,3.283333333,-0.012576509
12/3/2019,7309.59,14637722.11,71586469.67,0.553872119,3.466666667,-0.00175386
12/4/2019,7296.77,15591131.4,50091304.5,0.637205851,4.066666667,-0.014241918
